department,Red,Green,Blue,HEX
Art,255,108,108,ff6c6c
Engineering,146,205,220,92cddc
Production,151,221,153,97dd99
Design,249,196,153,f9c499
QA,228,216,84,e4d854
IT,171,105,220,ab69dc
Operations,255,206,252,ffcefc
Executive,155,155,155,9b9b9b
Contractor,232,153,0,e89900
